Course,Morning_Attend,Displaced,SpecialNeeds,Debtor,Fees_Paid,Gender,Scholarship,Age,S1_Evaluations,S1_Grade,S2_Evaluations,S2_Grade,Unemployment_Rate,Inflation_Rate,GDP,Has_Spouse,Developed_Nation,Parent_Income_Proxy,Target_3level
2,1,1,0,0,1,1,0,20.0,0,0.0,0,0.0,10.8,1.4,1.74,single_or_no_spouse,developed,1.5,At-risk
11,1,1,0,0,0,1,0,19.0,6,14.0,6,13.666666666666666,13.9,-0.3,0.79,single_or_no_spouse,developed,3.0,Regular
5,1,1,0,0,0,1,0,19.0,0,0.0,0,0.0,10.8,1.4,1.74,single_or_no_spouse,developed,1.0,At-risk
15,1,1,0,0,1,0,0,20.0,8,13.428571428571429,10,12.4,9.4,-0.8,-3.12,single_or_no_spouse,developed,2.5,Regular
3,0,0,0,0,1,0,0,45.0,9,12.333333333333334,6,13.0,13.9,-0.3,0.79,has_spouse,developed,1.0,Regular
17,0,0,0,1,1,1,0,50.0,10,11.857142857142858,17,11.5,16.2,0.3,-0.92,has_spouse,developed,1.5,Regular
12,1,1,0,0,1,0,1,18.0,9,13.3,8,14.345,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,Exceptional
11,1,1,0,0,0,1,0,22.0,5,0.0,5,0.0,15.5,2.8,-4.06,single_or_no_spouse,developed,1.0,At-risk
10,1,0,0,0,1,0,1,21.0,8,13.875,7,14.142857142857142,16.2,0.3,-0.92,single_or_no_spouse,developed,1.0,Exceptional
10,1,1,0,1,0,0,0,18.0,9,11.4,14,13.5,8.9,1.4,3.51,single_or_no_spouse,developed,2.0,At-risk
14,1,1,0,0,1,0,0,18.0,6,12.333333333333334,7,14.2,13.9,-0.3,0.79,single_or_no_spouse,developed,2.0,Regular
12,1,1,0,0,1,0,1,18.0,8,13.214285714285714,8,13.214285714285714,12.7,3.7,-1.7,single_or_no_spouse,developed,1.0,Regular
16,1,1,0,0,1,0,0,19.0,6,0.0,0,0.0,12.7,3.7,-1.7,single_or_no_spouse,developed,1.5,At-risk
11,1,1,0,0,1,0,1,21.0,7,10.571428571428571,8,11.0,8.9,1.4,3.51,single_or_no_spouse,developed,2.0,Regular
6,1,1,0,0,1,0,1,18.0,7,13.25,5,12.0,10.8,1.4,1.74,single_or_no_spouse,developed,2.0,Regular
15,1,1,0,0,1,0,0,20.0,6,13.2,7,0.0,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,At-risk
10,1,1,0,0,1,0,0,18.0,10,12.0,14,11.0,10.8,1.4,1.74,single_or_no_spouse,developed,1.5,Regular
12,1,1,0,0,1,0,0,18.0,8,13.30625,8,14.545,15.5,2.8,-4.06,single_or_no_spouse,developed,2.0,Exceptional
8,1,1,0,0,1,0,0,20.0,8,12.5,8,12.25,10.8,1.4,1.74,single_or_no_spouse,developed,2.5,Regular
16,1,1,0,0,1,0,0,18.0,7,11.666666666666666,8,13.5,16.2,0.3,-0.92,single_or_no_spouse,developed,2.0,Regular
2,1,0,0,0,1,0,1,21.0,0,0.0,0,0.0,11.1,0.6,2.02,single_or_no_spouse,developed,1.0,Regular
13,1,1,0,0,1,0,0,20.0,14,11.4375,9,11.425,12.7,3.7,-1.7,single_or_no_spouse,developed,2.0,Regular
12,1,1,0,0,1,0,0,18.0,12,12.857142857142858,12,12.857142857142858,12.7,3.7,-1.7,single_or_no_spouse,developed,3.0,Regular
14,1,1,0,0,1,0,1,19.0,8,13.375,7,12.285714285714286,11.1,0.6,2.02,single_or_no_spouse,developed,2.0,Regular
12,1,0,0,0,1,0,0,19.0,8,13.296666666666669,9,14.114285714285714,11.1,0.6,2.02,single_or_no_spouse,developed,2.5,Exceptional
10,1,1,0,1,1,0,1,18.0,8,11.6,12,11.0,7.6,2.6,0.32,single_or_no_spouse,developed,1.0,Regular
10,1,1,0,0,1,0,0,21.0,9,11.375,9,13.285714285714286,16.2,0.3,-0.92,single_or_no_spouse,developed,1.5,Regular
6,1,1,0,0,1,0,0,18.0,9,12.666666666666666,7,13.0,9.4,-0.8,-3.12,single_or_no_spouse,developed,3.0,Regular
9,1,1,0,0,1,0,0,20.0,6,12.0,6,12.333333333333334,16.2,0.3,-0.92,single_or_no_spouse,developed,1.0,Regular
12,1,1,0,0,1,1,0,19.0,9,12.933333333333332,7,13.716666666666669,16.2,0.3,-0.92,single_or_no_spouse,developed,2.5,Regular
4,1,0,0,0,1,1,0,21.0,15,11.857142857142858,17,10.571428571428571,16.2,0.3,-0.92,single_or_no_spouse,developed,2.5,Regular
5,1,1,0,0,1,1,0,20.0,7,12.833333333333334,9,13.4,8.9,1.4,3.51,single_or_no_spouse,developed,2.5,Regular
9,1,0,0,0,0,1,0,18.0,9,12.285714285714286,8,13.5,8.9,1.4,3.51,single_or_no_spouse,developed,2.0,Regular
3,0,1,0,0,1,0,0,19.0,6,12.666666666666666,8,14.375,12.4,0.5,1.79,single_or_no_spouse,developed,1.5,Regular
